Scar_count,E1,E2,E3,IS,EL,type,ID
18,0.541439252,0.356659447,0.101901301,0.188204495,0.341275228,polyhedron,QSYA0256
9,0.608829769,0.342513548,0.048656684,0.079918372,0.437423127,polyhedron,QSYA0562
13,0.628433512,0.296125235,0.075441254,0.120046516,0.528788282,polyhedron,QSYA0570
8,0.480147514,0.424934746,0.09491774,0.19768454,0.11499126,multifacial,QSYA0576
7,0.733833572,0.217308107,0.048858321,0.066579566,0.703872765,polyhedron,QSYA0579
11,0.483448455,0.295819299,0.220732247,0.456578658,0.388105815,polyhedron,QSYA0680
10,0.426483643,0.386475521,0.187040836,0.438565087,0.093809275,polyhedron,QSYA0682
33,0.531768099,0.248136829,0.220095073,0.41389296,0.533373986,polyhedron,QSYA0699
9,0.594363055,0.345017043,0.060619902,0.101991369,0.41951802,polyhedron,QSYA0700
8,0.696734776,0.216942745,0.086322479,0.123895752,0.688629372,multifacial,QSYA0702
11,0.643460344,0.203624658,0.152914998,0.237644789,0.683547463,polyhedron,QSYA0735
23,0.694678162,0.179731964,0.125589874,0.180788573,0.741273047,polyhedron,QSYA0938
29,0.49796241,0.288718985,0.213318605,0.428382948,0.420199237,spheroid,QSYA1098
11,0.719361357,0.242477176,0.038161467,0.053049092,0.662927159,polyhedron,QSYA1111
31,0.497139527,0.377157229,0.125703244,0.252853047,0.24134532,subspheroid,QSYA1246
9,0.68135929,0.243274657,0.075366054,0.110611325,0.642956865,multifacial,QSYA1304
14,0.653781805,0.231461576,0.114756619,0.175527398,0.6459651,polyhedron,QSYA1307
16,0.409514506,0.358327397,0.232158097,0.566910558,0.124994616,polyhedron,QSYA1333
9,0.455440327,0.311391805,0.233167868,0.511961401,0.316284075,multifacial,QSYA1517
11,0.559712873,0.397166779,0.043120348,0.077040122,0.290409782,polyhedron,QSYA1584
14,0.487422251,0.270299205,0.242278544,0.497060901,0.445451651,spheroid,QSYA1777
8,0.654903636,0.237494787,0.107601576,0.164301388,0.637359186,subspheroid,QSYA1941
22,0.481300394,0.296739643,0.221959963,0.461167216,0.383462704,subspheroid,QSYA2048
11,0.626957352,0.339535978,0.033506669,0.053443299,0.458438478,multifacial,QSYA2049
26,0.444488168,0.312146765,0.243365067,0.547517538,0.297738866,subspheroid,QSYA2213
6,0.539957275,0.412887644,0.047155081,0.087331133,0.235332751,multifacial,QSYA2381
14,0.467071777,0.351415264,0.181512959,0.388618983,0.247620426,polyhedron,QSYA2599
22,0.506713379,0.302318066,0.190968555,0.376876875,0.403374614,spheroid,QSYA2600
7,0.442616171,0.31311676,0.244267069,0.551871092,0.292577225,multifacial,QSYA2611
20,0.492299854,0.337525401,0.170174745,0.345672955,0.314390613,subspheroid,QSYA2717
27,0.602292571,0.239364039,0.15834339,0.262901118,0.602578463,spheroid,QSYA2723
28,0.646169126,0.236187582,0.117643291,0.182062693,0.634480242,spheroid,QSYA2797
14,0.541091619,0.258834058,0.200074323,0.369760529,0.521644674,spheroid,QSYB003
4,0.819753384,0.174444893,0.005801722,0.007077399,0.787198325,polyhedron,QSYB072
10,0.555280946,0.326114941,0.118604113,0.213592982,0.412702808,polyhedron,QSYB136
9,0.577155167,0.250819559,0.172025275,0.298057238,0.565420925,polyhedron,QSYB140
7,0.580001782,0.348654504,0.071343715,0.123006027,0.398873392,multifacial,QSYB159
15,0.651888498,0.249098652,0.09901285,0.151886174,0.617881504,polyhedron,QSYB168
7,0.69867925,0.215719957,0.085600793,0.122518012,0.69124608,polyhedron,QSYB186
15,0.576506687,0.290244814,0.133248499,0.231130881,0.496545624,subspheroid,QSYB189
10,0.581559451,0.385575196,0.032865352,0.056512455,0.336997799,polyhedron,QSYB320
7,0.882876895,0.07732521,0.039797895,0.045077514,0.912416771,polyhedron,QSYB435
