x,y,filename,category
5.9090247,9.676262,1_Sphere,idealmodel
-9.588906,-2.661789,2_Ellipsoid,idealmodel
5.430828,9.80751,3_Rounded_cube,idealmodel
-6.182298,-0.010624456,4_Box,idealmodel
-2.4981341,3.83934,5_Discoid,idealmodel
-8.676064,-2.3322809,QSY-A-0256-Polyhedron,Polyhedron
-2.2204368,4.010371,QSY-A-0562-Polyhedron,Polyhedron
-3.0597594,3.8492322,QSY-A-0570-Polyhedron,Polyhedron
-1.7083784,4.6650515,QSY-A-0576-Multifacial,Multifacial
-1.5619024,4.8377843,QSY-A-0579-Polyhedron,Polyhedron
-0.8073886,5.7259974,QSY-A-0680-Polyhedron,Polyhedron
4.5508204,9.851981,QSY-A-0682-Polyhedron,Polyhedron
-5.442516,0.5517528,QSY-A-0699-Polyhedron,Polyhedron
3.3568704,9.1962385,QSY-A-0700-Polyhedron,Polyhedron
-1.2581844,5.337393,QSY-A-0702-Multifacial,Multifacial
3.0307744,9.067641,QSY-A-0735-Polyhedron,Polyhedron
-0.20031586,5.8506856,QSY-A-0938-Polyhedron,Polyhedron
-9.3836,-2.7727947,QSY-A-1098-Spheroid,Spheroid
-8.471236,-2.0862522,QSY-A-1111-Polyhedron,Polyhedron
5.5408463,8.952085,QSY-A-1246-Subspheroid,Subspheroid
4.0767145,9.307265,QSY-A-1304-Multifacial,Multifacial
-2.028079,4.217574,QSY-A-1307-Polyhedron,Polyhedron
-4.9436145,0.971406,QSY-A-1333-Polyhedron,Polyhedron
-3.018234,3.8793163,QSY-A-1517-Multifacial,Multifacial
3.3570452,9.032154,QSY-A-1584-Polyhedron,Polyhedron
4.388654,9.848421,QSY-A-1777-Spheroid,Spheroid
4.932328,9.011939,QSY-A-1941-Spheroid,Spheroid
-4.6306944,1.2640958,QSY-A-2048-Subspheroid,Subspheroid
-5.189971,0.78294873,QSY-A-2049-Multifacial,Multifacial
5.3618097,9.598439,QSY-A-2213-Subspheroid,Subspheroid
-6.4552965,-0.26786548,QSY-A-2381-Multifacial,Multifacial
-8.79972,-2.6619506,QSY-A-2599-Polyhedron,Polyhedron
4.195318,9.652106,QSY-A-2600-Spheroid,Spheroid
-1.029151,5.5013695,QSY-A-2611-Multifacial,Multifacial
5.276763,9.244625,QSY-A-2717-Subspheroid,Subspheroid
5.7842484,9.158358,QSY-A-2723-Spheroid,Spheroid
5.722168,9.806995,QSY-A-2797-Spheroid,Spheroid
3.489639,9.107091,QSY-B-003-Spheroid,Spheroid
-8.15369,-2.3254228,QSY-B-072-Subspheroid,Subspheroid
-8.507287,-2.5297675,QSY-B-136-Polyhedron,Polyhedron
-0.20843823,5.6388144,QSY-B-140-Polyhedron,Polyhedron
0.08360315,5.8647904,QSY-B-159-Multifacial,Multifacial
-5.658211,0.3842514,QSY-B-168-Polyhedron,Polyhedron
-0.31352332,5.5352116,QSY-B-186-Polyhedron,Polyhedron
-9.168738,-2.6129558,QSY-B-189-Subspheroid,Subspheroid
-2.7735105,3.9236987,QSY-B-320-Polyhedron,Polyhedron
-8.336512,-2.728378,QSY-B-435-Polyhedron,Polyhedron
