x,y,filename,category,,,,,,
0.13848755,1.4793038,Sphere,idealmodel,,,,,,
14.759177,7.513951,Ellipsoid,idealmodel,,,,,,
0.90416396,1.1400435,Rounded_cube,idealmodel,,,,,,
12.322507,6.1709795,Box,idealmodel,,,,,,
10.330428,6.101713,Discoid_like,idealmodel,,,,,,
13.836742,7.4259033,QSY-A-0256,Polyhedron,,,QSY-A-0256-Polyhedron_power.csv,0.010011521,0.003380268,lava
10.229225,5.8817716,QSY-A-0562,Polyhedron,,,QSY-A-0562-Polyhedron_power.csv,0.03128443,0.000981557,other
10.400143,6.5838227,QSY-A-0570,Polyhedron,,,QSY-A-0570-Polyhedron_power.csv,0.068257463,0.004184737,lava
9.678582,6.0528183,QSY-A-0576,Multifacial,,,QSY-A-0576-Multifacial_power.csv,0.029911486,0.009228718,lava
9.336547,6.1996703,QSY-A-0579,Polyhedron,,,QSY-A-0579-Polyhedron_power.csv,0.029992217,0.012854267,chert
8.223282,6.3879237,QSY-A-0680,Polyhedron,,,QSY-A-0680-Polyhedron_power.csv,0.016303958,0.012549948,chert
1.5178863,2.1553905,QSY-A-0682,Polyhedron,,,QSY-A-0682-Polyhedron_power.csv,0.004953196,0.001425355,lava
11.778048,5.5675263,QSY-A-0699,Polyhedron,,,QSY-A-0699-Polyhedron_power.csv,0.018903063,0.001191463,lava
1.6535522,3.4626076,QSY-A-0700,Polyhedron,,,QSY-A-0700-Polyhedron_power.csv,0.004297411,0.007926513,other
8.928194,6.319064,QSY-A-0702,Multifacial,,,QSY-A-0702-Multifacial_power.csv,0.023244421,0.011539441,lava
2.102959,3.6700435,QSY-A-0735,Polyhedron,,,QSY-A-0735-Polyhedron_power.csv,0.007434729,0.005758597,lava
7.7688966,6.4125648,QSY-A-0938,Polyhedron,,,QSY-A-0938-Polyhedron_power.csv,0.013713899,0.008059474,lava
14.791345,7.5339985,QSY-A-1098,Spheroid,,,QSY-A-1098-Spheroid_power.csv,0.009466829,0.001107608,lava
13.497496,7.4830756,QSY-A-1111,Polyhedron,,,QSY-A-1111-Polyhedron_power.csv,0.011696785,0.004067966,chert
0.5563434,1.3200661,QSY-A-1246,Subspheroid,,,QSY-A-1246-Subspheroid_power.csv,0.002351783,0.003731868,lava
