degree,variance
0.000000000000000000e+00,7.343120128387077627e-33
1.000000000000000000e+00,7.073872629261992446e-07
2.000000000000000000e+00,1.960251542292541858e-04
3.000000000000000000e+00,1.081857898436747937e-05
4.000000000000000000e+00,6.619894557524049524e-06
5.000000000000000000e+00,6.711238350154482714e-07
6.000000000000000000e+00,3.193616338769193567e-07
7.000000000000000000e+00,7.674098623513379274e-08
8.000000000000000000e+00,7.518463234876994175e-08
9.000000000000000000e+00,1.537054714099713119e-08
1.000000000000000000e+01,1.332689645181702967e-08
1.100000000000000000e+01,2.997664517146418420e-09
1.200000000000000000e+01,3.406411024167710247e-09
1.300000000000000000e+01,1.031810135208196251e-09
1.400000000000000000e+01,7.895290086770389648e-10
1.500000000000000000e+01,3.451863699446488836e-10
1.600000000000000000e+01,3.131376159637625979e-10
1.700000000000000000e+01,1.061139516342295245e-10
1.800000000000000000e+01,1.520985355865962278e-10
1.900000000000000000e+01,5.054681912095020853e-11
2.000000000000000000e+01,6.437800563081087569e-11
