x,y,filename,category
-3.3992074,-5.216847,QSY-A-1517,Multifacial
-3.2279305,-4.9826603,QSY-B-320,Multifacial
-2.5749443,-1.2926432,QSY-B-072,Subspheroid
-3.1394708,-0.11361063,QSY-A-1098,Spheroid
-2.8461459,-2.6097198,Box,idealmodel
2.7993367,-3.0469482,QSY-A-1941,Subspheroid
2.823498,-3.772774,QSY-A-0682,Polyhedron
-2.9949992,-4.6878467,Discoid,idealmodel
-3.1444705,-3.2761493,QSY-A-2049,Multifacial
3.1416905,-2.953779,QSY-A-2213,Subspheroid
-2.7705889,-4.216141,QSY-A-1307,Multifacial
1.3703023,-3.517325,QSY-A-0700,Polyhedron
-0.91273576,-3.3713765,QSY-A-0680,Multifacial
3.741587,-2.8126507,QSY-A-2797,Spheroid
-2.0974898,-4.280095,QSY-A-0579,Multifacial
-3.3615584,-3.0835154,QSY-A-0699,Multifacial
-1.6915467,-4.014506,QSY-A-0702,Polyhedron
2.511886,-3.9801896,QSY-A-2600,Spheroid
3.454485,-2.5247316,Rounded_cube,idealmodel
-3.0681784,-2.8598042,QSY-B-168,Multifacial
-1.2551887,-3.6155274,QSY-A-2611,Polyhedron
3.397792,-3.0594034,QSY-A-2723,Spheroid
-3.189009,-3.5502033,QSY-A-1333,Multifacial
-0.7023339,-2.9485786,QSY-B-186,Polyhedron
2.1037714,-3.682467,QSY-A-1304,Polyhedron
-3.3322814,-5.1493235,QSY-A-0570,Multifacial
-3.0638928,-0.21903469,Ellipsoid,idealmodel
-3.0121367,-3.8275106,QSY-A-2048,Subspheroid
-3.1033769,-0.3976325,QSY-B-189,Subspheroid
-2.6505096,-2.2870166,QSY-A-2381,Multifacial
3.1801682,-2.6201403,QSY-A-1246,Subspheroid
-2.5957012,-0.3919276,QSY-A-2599,Polyhedron
-2.3254187,-0.5317851,QSY-A-0256,Polyhedron
3.7045648,-2.8930247,Sphere,idealmodel
3.0754406,-2.8020265,QSY-A-2717,Subspheroid
-2.4305897,-4.4466686,QSY-A-0576,Polyhedron
0.34597036,-3.2173095,QSY-B-159,Polyhedron
-2.5823135,-0.8661099,QSY-B-435,Polyhedron
-2.1328754,-1.0600476,QSY-A-1111,Polyhedron
2.7523334,-4.046228,QSY-A-1777,Spheroid
-0.541862,-2.8202775,QSY-B-140,Polyhedron
1.5615621,-3.7229087,QSY-B-003,Spheroid
-0.31931704,-2.9592352,QSY-A-0938,Polyhedron
1.6038252,-3.7698638,QSY-A-1584,Polyhedron
1.1864529,-3.6584635,QSY-A-0735,Polyhedron
-2.9198031,-4.300806,QSY-A-0562,Multifacial
-2.7162027,-0.8079281,QSY-B-136,Polyhedron
