degree,order,value,amplitude,power,real,imag,harmonic
0,0,(0.9999999999999999+0j),0.9999999999999999,0.9999999999999998,0.9999999999999999,0.0,l=0 m=0
1,-1,(-5.118994339059938e-06+8.842357092869369e-05j),8.857162073048598e-05,7.844931998825053e-09,-5.118994339059938e-06,8.842357092869369e-05,l=1 m=-1
1,0,(1.1087102084192626e-08+0j),1.1087102084192626e-08,1.2292383262530847e-16,1.1087102084192626e-08,0.0,l=1 m=0
1,1,(5.118994339059936e-06+8.842357092869369e-05j),8.857162073048598e-05,7.844931998825053e-09,5.118994339059936e-06,8.842357092869369e-05,l=1 m=1
2,-2,(0.07306046989340202-3.2743142710523576e-05j),0.07306047723056631,0.0053378333331580985,0.07306046989340202,-3.2743142710523576e-05,l=2 m=-2
2,-1,(3.637616075881155e-08-3.337029148671555e-08j),4.9363968898977945e-08,2.436801425459262e-15,3.637616075881155e-08,-3.337029148671555e-08,l=2 m=-1
2,0,(0.007444680528355448+0j),0.007444680528355448,5.542326816927476e-05,0.007444680528355448,0.0,l=2 m=0
2,1,(-3.637616075881163e-08-3.3370291486715796e-08j),4.936396889897817e-08,2.436801425459284e-15,-3.637616075881163e-08,-3.3370291486715796e-08,l=2 m=1
2,2,(0.07306046989340202+3.274314271052553e-05j),0.07306047723056631,0.0053378333331580985,0.07306046989340202,3.274314271052553e-05,l=2 m=2
3,-3,(-1.0434083829415686e-06+1.4390062192650936e-05j),1.4427840828133454e-05,2.0816259096195464e-10,-1.0434083829415686e-06,1.4390062192650936e-05,l=3 m=-3
3,-2,(2.035056245206134e-09-6.919834138619755e-08j),6.922825943588279e-08,4.792551904521894e-15,2.035056245206134e-09,-6.919834138619755e-08,l=3 m=-2
3,-1,(-2.8666559423580435e-07+4.644805512981006e-06j),4.65364324119687e-06,2.165639541633731e-11,-2.8666559423580435e-07,4.644805512981006e-06,l=3 m=-1
3,0,(2.8581368683470675e-09+0j),2.8581368683470675e-09,8.168946358204782e-18,2.8581368683470675e-09,0.0,l=3 m=0
3,1,(2.866655942358044e-07+4.644805512981e-06j),4.653643241196864e-06,2.1656395416337256e-11,2.866655942358044e-07,4.644805512981e-06,l=3 m=1
3,2,(2.0350562456098657e-09+6.919834138627747e-08j),6.922825943597452e-08,4.792551904534595e-15,2.0350562456098657e-09,6.919834138627747e-08,l=3 m=2
3,3,(1.0434083829415681e-06+1.4390062192650936e-05j),1.4427840828133454e-05,2.0816259096195464e-10,1.0434083829415681e-06,1.4390062192650936e-05,l=3 m=3
4,-4,(0.00952791169928932-8.585683279144558e-06j),0.009527915567605101,9.078117506341164e-05,0.00952791169928932,-8.585683279144558e-06,l=4 m=-4
4,-3,(7.842327454892053e-09+1.1152562523443152e-08j),1.3633845779862055e-08,1.8588175074906236e-16,7.842327454892053e-09,1.1152562523443152e-08,l=4 m=-3
4,-2,(0.0008179903567543301-3.633845414105714e-07j),0.0008179904374694128,6.691083557914013e-07,0.0008179903567543301,-3.633845414105714e-07,l=4 m=-2
4,-1,(-1.8521208329247967e-09+5.059035871800044e-08j),5.0624250580089744e-08,2.5628147467957167e-15,-1.8521208329247967e-09,5.059035871800044e-08,l=4 m=-1
4,0,(0.0023823701822566564+0j),0.0023823701822566564,5.675687685305614e-06,0.0023823701822566564,0.0,l=4 m=0
4,1,(1.8521208329248478e-09+5.0590358717999885e-08j),5.062425058008919e-08,2.5628147467956607e-15,1.8521208329248478e-09,5.0590358717999885e-08,l=4 m=1
4,2,(0.0008179903567543357+3.633845414105127e-07j),0.0008179904374694184,6.691083557914105e-07,0.0008179903567543357,3.633845414105127e-07,l=4 m=2
4,3,(-7.842327454892028e-09+1.1152562523443174e-08j),1.3633845779862058e-08,1.8588175074906246e-16,-7.842327454892028e-09,1.1152562523443174e-08,l=4 m=3
4,4,(0.00952791169928932+8.585683279144734e-06j),0.009527915567605101,9.078117506341164e-05,0.00952791169928932,8.585683279144734e-06,l=4 m=4
5,-5,(-3.7156609992959486e-07+2.5624506959976003e-06j),2.5892498790258687e-06,6.704214936035476e-12,-3.7156609992959486e-07,2.5624506959976003e-06,l=5 m=-5
5,-4,(-3.7301287334569625e-09-1.7944074964571152e-08j),1.83276754309517e-08,3.3590368670231053e-16,-3.7301287334569625e-09,-1.7944074964571152e-08,l=5 m=-4
5,-3,(1.9216458052122264e-07+5.350188055802034e-07j),5.684824960641839e-07,3.2317234833136483e-13,1.9216458052122264e-07,5.350188055802034e-07,l=5 m=-3
5,-2,(-1.7969037252072282e-09+2.0213434725285658e-07j),2.0214233401822606e-07,4.0861523202336075e-14,-1.7969037252072282e-09,2.0213434725285658e-07,l=5 m=-2
