degree,total_power,max_amplitude,total_amplitude
0,0.9999999999999998,0.9999999999999999,0.9999999999999999
1,1.568986412057394e-08,8.857162073048598e-05,0.00012525918776909716
2,0.010731089934490345,0.07306047723056631,0.10359097419413694
3,4.596475660293393e-10,1.4427840828133454e-05,2.1439392855893547e-05
4,0.0001885762545292091,0.009527915567605101,0.013732306963114723
5,1.7813057828058195e-11,2.5892498790258687e-06,4.220551839280996e-06
6,4.333086930341675e-06,0.0014531121284420635,0.0020816068145405545
7,5.4916594330395656e-12,1.5029203156098234e-06,2.343428990398379e-06
8,1.1432828298076402e-07,0.0002360574516838952,0.00033812465597877366
9,7.135420287024702e-12,1.8595863784717905e-06,2.6712207484640244e-06
10,4.045552309889859e-09,4.294928093038881e-05,6.360465635383827e-05
11,7.737598102592439e-12,1.8943599375673006e-06,2.7816538430567596e-06
12,7.349111443270816e-10,1.5068236955591538e-05,2.7109244628485716e-05
13,9.313778624387381e-12,1.860319678121467e-06,3.0518483947252984e-06
14,5.714070305604117e-10,1.3855247509710583e-05,2.3904121622858506e-05
15,1.6897584450241887e-11,2.0919120289344263e-06,4.110667153910893e-06
16,5.206047809402209e-10,1.1494248948529609e-05,2.2816765347880073e-05
17,3.383152929261341e-11,3.52950262171748e-06,5.816487711034332e-06
18,4.854870285814534e-10,1.0249192282426795e-05,2.2033770185364406e-05
19,5.862509157255344e-11,4.9349815086349634e-06,7.656702395454158e-06
20,3.7334282594310754e-10,8.966612497006044e-06,1.9322081304639713e-05
21,8.332098664976342e-11,6.007434870803118e-06,9.128033010992204e-06
22,3.395754743807428e-10,7.352479821038444e-06,1.8427573751873653e-05
23,1.0056931596338477e-10,6.615849617234363e-06,1.0028425398006647e-05
24,1.6662881700408925e-10,6.774281082588606e-06,1.2908478492994024e-05
25,1.0661658765201053e-10,6.682861840113561e-06,1.0325530865384623e-05
26,1.751908934019223e-10,6.5585847613309394e-06,1.3235969681210453e-05
27,1.0800428246782004e-10,6.400827253265165e-06,1.039251088369986e-05
28,1.6475003065955278e-10,6.239598526252231e-06,1.2835498847319989e-05
29,1.0819551174922747e-10,6.008722140000122e-06,1.0401707155521514e-05
30,1.8636124338857e-10,6.883947301084799e-06,1.3651419097975493e-05
31,1.08003323960353e-10,5.624007586182397e-06,1.0392464768299818e-05
32,2.2513916022164495e-10,7.3463267598397904e-06,1.5004637957033316e-05
33,1.1335627970981101e-10,5.391663907591926e-06,1.0646890612277887e-05
34,2.070415243536969e-10,6.938881104221302e-06,1.4388937568621837e-05
35,1.30842561989345e-10,5.34798900606518e-06,1.1438643363150414e-05
36,1.6649522467078286e-10,6.6892344579804874e-06,1.290330285898858e-05
37,1.6850718353578645e-10,6.199344098486513e-06,1.2981031682258018e-05
38,2.1295787880986093e-10,6.701270952783677e-06,1.459307639978154e-05
39,2.0693764711428323e-10,7.0822625896348856e-06,1.4385327494161654e-05
40,2.039480260644246e-10,6.353527427594875e-06,1.4281037289511732e-05
41,2.4007516551623937e-10,7.893750291039788e-06,1.5494359151518314e-05
42,2.0490573467236983e-10,5.605095445085675e-06,1.4314528796728512e-05
43,2.480442224686164e-10,8.314983366101175e-06,1.574941975021989e-05
44,2.0573301372144366e-10,5.440794448661786e-06,1.4343396171111068e-05
45,2.3292080611671174e-10,8.134776626638777e-06,1.5261743220114526e-05
46,1.7029566552831516e-10,4.714324009588753e-06,1.30497381402201e-05
47,1.9532580897267235e-10,7.445352922957511e-06,1.3975901007544106e-05
48,1.3785582660090014e-10,4.326197992378348e-06,1.1741202093520925e-05
49,1.419733780929869e-10,6.194853694655761e-06,1.1915258205048973e-05
50,1.2059483423437538e-10,4.314164413725033e-06,1.0981567931510299e-05
51,9.806213928720761e-11,4.933043077720515e-06,9.902632947211949e-06
52,8.59785046121809e-11,3.3486481833657344e-06,9.27245946942778e-06
53,7.636591039083764e-11,3.980775603677678e-06,8.738759087584326e-06
54,8.141598096861226e-11,3.3131367271118965e-06,9.02308045894595e-06
55,6.768275320911061e-11,3.334028105032008e-06,8.226952850789326e-06
56,5.576358601559421e-11,2.949898866772065e-06,7.467501993009055e-06
57,6.708751656886117e-11,3.07405563906999e-06,8.190696952571323e-06
58,4.860567134012705e-11,2.881559166621214e-06,6.971776770675252e-06
59,6.244517007092418e-11,2.838289349935344e-06,7.902225640344887e-06
60,3.798809505333953e-11,2.6311410883119085e-06,6.16344830864505e-06
61,5.96671766385228e-11,3.40352976869961e-06,7.724453161132042e-06
62,3.472380043270419e-11,2.490421657809442e-06,5.8926904239663045e-06
63,5.798364166072777e-11,4.110418753439416e-06,7.614699052538305e-06
64,2.6530162084528958e-11,2.022719534093357e-06,5.150743837983885e-06
65,5.024543393078824e-11,4.115310663227653e-06,7.088401366372268e-06
66,2.7451707175175227e-11,1.758008170453543e-06,5.239437677382491e-06
67,4.8647758342914566e-11,3.903822958248726e-06,6.974794501841224e-06
68,7.999928769601569e-11,4.40274188384417e-06,8.944232090907283e-06
69,4.6094182021248114e-11,3.306714812460272e-06,6.789269623549216e-06
70,1.615832761214988e-10,5.849211923798798e-06,1.2711541060056361e-05
71,5.3978312929853927e-11,2.8162058904856635e-06,7.346993461944411e-06
72,1.7897093087652712e-10,4.54097992135632e-06,1.337800175200045e-05
73,6.70214920888625e-11,3.347862272002173e-06,8.1866655048843e-06
74,1.1614099678981575e-10,2.487387685591028e-06,1.0776873238087927e-05
75,8.777418728847798e-11,4.01196147640173e-06,9.368787930595824e-06
76,1.3783694925421437e-10,4.399865814369429e-06,1.1740398172728827e-05
77,1.0221917931143085e-10,4.158480786893066e-06,1.0110350108251982e-05
78,2.3151502784180837e-10,6.016638754117704e-06,1.5215617892212211e-05
79,9.836498642252068e-11,3.8039410299591257e-06,9.917912402442395e-06
80,1.5323360957649746e-10,2.476822010671519e-06,1.237875638246821e-05
81,8.089585270325415e-11,3.2856253523469866e-06,8.994212178020605e-06
82,1.4425161318189121e-10,3.3197995546069197e-06,1.2010479306917407e-05
83,7.180256049191259e-11,3.7843849025533186e-06,8.473639152802802e-06
84,9.437246204249614e-11,2.3898595864301648e-06,9.714548988115513e-06
85,8.437800552480311e-11,3.904908831860177e-06,9.18575013402842e-06
86,7.698382542338332e-11,3.6022663669149772e-06,8.774042706950048e-06
87,1.026020626475478e-10,3.1244437696633127e-06,1.0129267626415436e-05
88,8.466770249460555e-11,2.4249344211934662e-06,9.201505447186647e-06
89,1.432384098948894e-10,3.1499331428185195e-06,1.1968225010204704e-05
90,4.7529715142762546e-11,1.976563483383357e-06,6.894179802033201e-06
91,2.1004124050133517e-10,3.928784573402398e-06,1.449279960881731e-05
92,5.925998228445135e-11,2.5376123994024506e-06,7.69805055091556e-06
93,2.1166370594191075e-10,3.746763004359115e-06,1.4548666809777134e-05
94,4.439883457048787e-11,2.5783678509634456e-06,6.663245048059382e-06
95,1.682058563071336e-10,3.3467373911609586e-06,1.2969420045134386e-05
96,4.365883844791487e-11,2.8193637922238717e-06,6.607483518550377e-06
97,1.291409959384189e-10,3.11649464428558e-06,1.1364021996565253e-05
98,4.367748487552823e-11,2.6768717149214916e-06,6.608894376181861e-06
99,1.1752082725644534e-10,2.7858343859359593e-06,1.0840702341474253e-05
100,5.164178930755452e-11,2.835465531619018e-06,7.186222186069293e-06
101,1.1031259059679432e-10,2.4463303685847283e-06,1.0502980081709873e-05
102,4.437400330347047e-11,2.2043635255472753e-06,6.6613814861086034e-06
103,9.514144339405344e-11,2.1877897038366137e-06,9.754047539050311e-06
104,7.525758507589705e-11,3.247860825074742e-06,8.675112971938583e-06
105,8.69166802584669e-11,2.1204137884435235e-06,9.322911576244134e-06
106,6.421924510067634e-11,1.8340803394950542e-06,8.013691103397755e-06
